"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","0","0","127.41","(0,0)","1","0","123.93","(1,0)"
"2","1","0","125.32","(1,0)","1","0","121.54","(1,0)"
"3","2","0","141.46","(2,0)","2","0","135.78","(2,0)"
"4","1","1","146.03","(1,1)","1","1","140.36","(1,1)"
"5","2","0","140.29","(2,0)","2","0","134.62","(2,0)"
"6","2","0","154.74","(2,0)","2","0","149.06","(2,0)"
"7","1","1","132.34","(1,1)","1","1","126.66","(1,1)"
"8","1","2","157.34","(1,2)","1","2","149.77","(1,2)"
"9","1","0","141.61","(1,0)","1","0","137.83","(1,0)"
"10","1","2","147.57","(1,2)","1","2","140","(1,2)"
"11","1","1","171.75","(1,1)","1","1","166.08","(1,1)"
"12","2","0","141.92","(2,0)","1","2","136.17","(1,2)"
"13","2","0","146.37","(2,0)","2","0","140.7","(2,0)"
"14","2","0","145.98","(2,0)","2","0","140.3","(2,0)"
"15","2","0","142.14","(2,0)","2","2","135.85","(2,2)"
"16","1","1","158.09","(1,1)","1","1","152.42","(1,1)"
"17","2","0","166.24","(2,0)","1","2","159.24","(1,2)"
"18","1","2","142.19","(1,2)","1","2","134.62","(1,2)"
"19","2","0","154.53","(2,0)","2","2","147.97","(2,2)"
"20","1","1","158.72","(1,1)","1","1","153.05","(1,1)"
"21","2","0","130.51","(2,0)","2","0","124.84","(2,0)"
"22","1","1","137.54","(1,1)","1","1","131.86","(1,1)"
"23","1","0","154.19","(1,0)","1","1","149.48","(1,1)"
"24","2","0","146.73","(2,0)","2","0","141.06","(2,0)"
"25","1","0","151.38","(1,0)","1","0","147.6","(1,0)"
"26","2","0","142.75","(2,0)","2","0","137.08","(2,0)"
"27","2","1","156.45","(2,1)","2","2","147.9","(2,2)"
"28","1","1","144.82","(1,1)","1","1","139.15","(1,1)"
"29","1","0","149.72","(1,0)","1","1","145.51","(1,1)"
"30","1","1","137.5","(1,1)","1","1","131.82","(1,1)"
"31","1","1","129.73","(1,1)","1","1","124.06","(1,1)"
"32","2","0","155.16","(2,0)","2","1","149.34","(2,1)"
"33","2","0","153.3","(2,0)","2","1","147.52","(2,1)"
"34","1","1","148.85","(1,1)","1","1","143.17","(1,1)"
"35","2","0","175.25","(2,0)","2","0","169.57","(2,0)"
"36","1","0","145.28","(1,0)","1","0","141.5","(1,0)"
"37","2","0","144.22","(2,0)","2","0","138.55","(2,0)"
"38","2","0","152.24","(2,0)","2","0","146.56","(2,0)"
"39","1","0","152.21","(1,0)","2","0","146.81","(2,0)"
"40","1","0","117.44","(1,0)","1","0","113.65","(1,0)"
"41","2","0","146.11","(2,0)","2","0","140.44","(2,0)"
"42","2","0","141.24","(2,0)","2","0","135.56","(2,0)"
"43","1","1","162.65","(1,1)","1","1","156.98","(1,1)"
"44","0","2","154.37","(0,2)","0","2","148.69","(0,2)"
"45","2","1","143.96","(2,1)","2","1","136.39","(2,1)"
"46","0","0","147.54","(0,0)","2","2","141.36","(2,2)"
"47","1","2","150.12","(1,2)","1","2","142.56","(1,2)"
"48","2","0","156.05","(2,0)","2","0","150.37","(2,0)"
"49","2","0","145.57","(2,0)","2","0","139.89","(2,0)"
"50","1","0","135.95","(1,0)","1","0","132.16","(1,0)"
"51","2","1","161.19","(2,1)","2","1","153.63","(2,1)"
"52","2","0","163.43","(2,0)","1","2","157.56","(1,2)"
"53","1","1","142.97","(1,1)","1","1","137.29","(1,1)"
"54","1","1","150.21","(1,1)","1","1","144.54","(1,1)"
"55","1","0","155.16","(1,0)","2","0","149.48","(2,0)"
"56","2","0","161.06","(2,0)","2","0","155.38","(2,0)"
"57","1","0","154.5","(1,0)","1","0","150.72","(1,0)"
"58","1","1","140.65","(1,1)","1","1","134.98","(1,1)"
"59","1","0","151.12","(1,0)","1","0","147.34","(1,0)"
"60","1","0","171.74","(1,0)","2","0","167.16","(2,0)"
"61","1","0","164.74","(1,0)","1","0","160.96","(1,0)"
"62","1","1","139.95","(1,1)","2","2","134.15","(2,2)"
"63","1","1","163.94","(1,1)","1","1","158.26","(1,1)"
"64","2","0","141.15","(2,0)","2","0","135.48","(2,0)"
"65","1","1","157.84","(1,1)","1","1","152.16","(1,1)"
"66","2","0","136.73","(2,0)","2","0","131.05","(2,0)"
"67","1","0","149.57","(1,0)","2","0","145.44","(2,0)"
"68","0","0","121.91","(0,0)","0","0","120.02","(0,0)"
"69","0","0","128.77","(0,0)","2","2","122.7","(2,2)"
"70","1","1","152.63","(1,1)","1","1","146.96","(1,1)"
"71","1","1","148","(1,1)","1","1","142.32","(1,1)"
"72","2","1","131.76","(2,1)","2","1","124.19","(2,1)"
"73","2","0","170.17","(2,0)","2","0","164.5","(2,0)"
"74","1","0","154.5","(1,0)","1","0","150.72","(1,0)"
"75","1","0","156.29","(1,0)","1","1","152.11","(1,1)"
"76","1","0","138.69","(1,0)","2","0","134.33","(2,0)"
"77","2","0","156.84","(2,0)","1","2","149.93","(1,2)"
"78","2","0","158.61","(2,0)","2","2","150.31","(2,2)"
"79","1","1","130.93","(1,1)","1","1","125.26","(1,1)"
"80","1","1","157.33","(1,1)","1","2","150.31","(1,2)"
"81","1","1","137.59","(1,1)","1","1","131.91","(1,1)"
"82","1","0","128.64","(1,0)","1","1","124.24","(1,1)"
"83","2","2","137.07","(2,2)","2","2","127.61","(2,2)"
"84","2","0","158.24","(2,0)","2","0","152.57","(2,0)"
"85","1","0","141.84","(1,0)","2","0","137","(2,0)"
"86","1","1","159.64","(1,1)","1","1","153.97","(1,1)"
"87","1","1","168.55","(1,1)","1","1","162.88","(1,1)"
"88","1","0","154.72","(1,0)","1","0","150.94","(1,0)"
"89","2","0","146.05","(2,0)","2","0","140.37","(2,0)"
"90","1","0","141.37","(1,0)","1","0","137.59","(1,0)"
"91","1","0","160.03","(1,0)","2","0","154.44","(2,0)"
"92","1","1","151.02","(1,1)","1","1","145.34","(1,1)"
"93","2","0","118.46","(2,0)","2","0","112.78","(2,0)"
