"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","0","0","130.71","(0,0)","2","1","125.18","(2,1)"
"2","2","0","159.2","(2,0)","2","1","151.55","(2,1)"
"3","2","2","134.47","(2,2)","2","2","123","(2,2)"
"4","1","0","145.74","(1,0)","1","0","140.01","(1,0)"
"5","1","0","153.32","(1,0)","1","0","147.58","(1,0)"
"6","1","0","161.91","(1,0)","2","2","155.35","(2,2)"
"7","0","0","139.17","(0,0)","1","1","133.65","(1,1)"
"8","2","0","153.06","(2,0)","1","2","144.91","(1,2)"
"9","2","0","165.39","(2,0)","2","0","157.74","(2,0)"
"10","2","0","161.28","(2,0)","2","0","153.63","(2,0)"
"11","1","0","151.97","(1,0)","2","0","144.35","(2,0)"
"12","1","0","145.59","(1,0)","0","2","139.2","(0,2)"
"13","2","0","157.22","(2,0)","2","0","149.57","(2,0)"
"14","1","0","159.84","(1,0)","2","2","151.87","(2,2)"
"15","1","0","158.62","(1,0)","1","0","152.88","(1,0)"
"16","0","2","159.14","(0,2)","0","2","151.49","(0,2)"
"17","1","0","156.85","(1,0)","2","1","148.66","(2,1)"
"18","2","0","157.2","(2,0)","1","2","148.34","(1,2)"
"19","2","0","170.16","(2,0)","2","0","162.51","(2,0)"
"20","2","0","165.3","(2,0)","2","0","157.65","(2,0)"
"21","1","0","150.05","(1,0)","2","0","144.29","(2,0)"
"22","2","0","160.38","(2,0)","2","0","152.73","(2,0)"
"23","1","1","149.69","(1,1)","1","1","142.05","(1,1)"
"24","2","0","165.61","(2,0)","2","0","157.96","(2,0)"
"25","1","1","164.54","(1,1)","1","1","156.9","(1,1)"
"26","0","0","147.62","(0,0)","0","2","141.78","(0,2)"
"27","1","2","140.36","(1,2)","1","2","130.8","(1,2)"
"28","1","1","151.01","(1,1)","1","1","143.36","(1,1)"
"29","1","1","175.16","(1,1)","2","2","166.41","(2,2)"
"30","1","1","160.52","(1,1)","1","1","152.87","(1,1)"
"31","0","2","168.06","(0,2)","1","2","159.55","(1,2)"
"32","1","1","140.02","(1,1)","1","1","132.37","(1,1)"
"33","1","1","145.64","(1,1)","1","1","137.99","(1,1)"
"34","2","0","155.37","(2,0)","2","0","147.72","(2,0)"
"35","2","0","172.9","(2,0)","2","0","165.26","(2,0)"
"36","1","0","143.5","(1,0)","1","0","137.76","(1,0)"
"37","1","1","163.82","(1,1)","1","1","156.17","(1,1)"
"38","1","1","150.91","(1,1)","1","1","143.26","(1,1)"
"39","1","0","157.01","(1,0)","1","0","151.27","(1,0)"
"40","2","0","143.77","(2,0)","2","0","136.12","(2,0)"
"41","2","0","172.02","(2,0)","1","2","163.81","(1,2)"
"42","1","2","151.36","(1,2)","1","2","141.8","(1,2)"
"43","2","0","153.42","(2,0)","2","0","145.78","(2,0)"
"44","1","1","164.33","(1,1)","1","1","156.69","(1,1)"
"45","1","0","154.26","(1,0)","2","0","147.52","(2,0)"
"46","2","0","151.25","(2,0)","2","0","143.61","(2,0)"
"47","0","0","149.29","(0,0)","0","0","145.46","(0,0)"
"48","2","2","150.04","(2,2)","2","2","138.57","(2,2)"
"49","1","0","161.63","(1,0)","1","0","155.9","(1,0)"
"50","2","2","157.1","(2,2)","2","2","145.62","(2,2)"
"51","1","1","153.1","(1,1)","1","1","145.45","(1,1)"
"52","2","0","159.45","(2,0)","2","0","151.8","(2,0)"
"53","1","0","155.19","(1,0)","2","2","145.32","(2,2)"
"54","2","0","142.18","(2,0)","1","2","133.4","(1,2)"
"55","0","0","171.36","(0,0)","2","2","163.91","(2,2)"
"56","1","0","144.32","(1,0)","2","0","136.81","(2,0)"
"57","1","1","156.06","(1,1)","2","2","146.32","(2,2)"
"58","2","0","135.46","(2,0)","2","0","127.82","(2,0)"
"59","1","1","139.7","(1,1)","1","1","132.05","(1,1)"
