"Var1","Var2","Var3","Var4","RMSE (TT)"
0,0,0,0,2504.92225113376
1,0,0,0,2416.81654763512
2,0,0,0,2345.45615906512
3,0,0,0,2406.96403683265
0,1,0,0,2342.16701869098
1,1,0,0,2324.9450911753
2,1,0,0,2332.20448221665
3,1,0,0,2415.38384544625
0,2,0,0,2306.85435134959
1,2,0,0,2362.51743359023
2,2,0,0,2380.24818685231
3,2,0,0,2469.24112651413
0,3,0,0,2295.5225324882
1,3,0,0,2388.94685840701
2,3,0,0,2392.57298906353
3,3,0,0,2471.27110628613
0,0,1,0,2323.28707686135
1,0,1,0,2174.77897901213
2,0,1,0,2109.70259043288
3,0,1,0,2157.29754547616
0,1,1,0,2159.35851608666
1,1,1,0,2104.88057188175
2,1,1,0,2112.69762429601
3,1,1,0,2175.07116525525
0,2,1,0,2106.87054762385
1,2,1,0,2131.11189744645
2,2,1,0,2157.43755135895
3,2,1,0,2170.62109603237
0,3,1,0,2078.68746552925
1,3,1,0,2165.89068557549
2,3,1,0,2165.93706636573
3,3,1,0,2374.9891056311
0,0,0,1,1965.80774516033
1,0,0,1,1966.83500117665
2,0,0,1,1969.12949826966
3,0,0,1,2017.67599210181
0,1,0,1,1872.34065352359
1,1,0,1,1979.95371064314
2,1,0,1,1980.65557023101
3,1,0,1,2027.38597461602
0,2,0,1,1909.11395282423
1,2,0,1,1984.79489625092
2,2,0,1,2048.80724419918
3,2,0,1,2012.73429154492
0,3,0,1,1933.83336785019
1,3,0,1,2063.26007844813
2,3,0,1,2069.00138954407
3,3,0,1,2006.54093676511
0,0,1,1,1914.73642815997
1,0,1,1,1967.68197498656
2,0,1,1,1967.58483136816
3,0,1,1,2050.79680338639
0,1,1,1,1829.67042036976
1,1,1,1,1986.45417681447
2,1,1,1,1988.61398955472
3,1,1,1,2062.01214207118
0,2,1,1,1896.22338507881
1,2,1,1,1997.81732483286
2,2,1,1,1986.1562803387
3,2,1,1,2045.23934726352
0,3,1,1,1926.21899095418
1,3,1,1,2092.6821119827
2,3,1,1,2094.26202856786
3,3,1,1,2007.28479773473
