"Var1","Var2","Var3","Var4","RMSE"
0,0,0,0,4274.79466710072
1,0,0,0,3958.22635084931
2,0,0,0,3987.79933879321
3,0,0,0,3944.74947431941
0,1,0,0,4095.34416569463
1,1,0,0,3923.99111126531
2,1,0,0,3944.13929741494
3,1,0,0,3956.01997328658
0,2,0,0,4016.2474264644
1,2,0,0,3973.1984851634
2,2,0,0,3962.48790069631
3,2,0,0,3868.50334637268
0,3,0,0,3979.98841498671
1,3,0,0,3991.84516049702
2,3,0,0,3952.20573622182
3,3,0,0,3889.44064008196
0,0,1,0,3850.17884905391
1,0,1,0,3531.50345362973
2,0,1,0,3547.96297798377
3,0,1,0,3538.10297959494
0,1,1,0,3659.93284461242
1,1,1,0,3490.80436354589
2,1,1,0,3537.68404914019
3,1,1,0,3560.85599016288
0,2,1,0,3585.58553014351
1,2,1,0,3537.52650630389
2,2,1,0,3534.99560639011
3,2,1,0,3545.40003933753
0,3,1,0,3532.00204820691
1,3,1,0,3586.90548634937
2,3,1,0,3598.02790291162
3,3,1,0,3551.42085264964
0,0,0,1,3421.6663540506
1,0,0,1,3079.51256918361
2,0,0,1,3096.99793469343
3,0,0,1,3074.77237245138
0,1,0,1,3250.13168225832
1,1,0,1,3060.94600896194
2,1,0,1,3085.23906336972
3,1,0,1,3048.99591586375
0,2,0,1,3181.20674952924
1,2,0,1,3109.10707669347
2,2,0,1,3114.82548315129
3,2,0,1,3087.05808666068
0,3,0,1,3115.99787727944
1,3,0,1,3102.36172095627
2,3,0,1,3115.9799526315
3,3,0,1,3094.29684641663
0,0,1,1,3432.27422238383
1,0,1,1,3092.06471446146
2,0,1,1,3100.63579815548
3,0,1,1,3081.42602917867
0,1,1,1,3245.34740491538
1,1,1,1,3061.52622391122
2,1,1,1,3103.92268214757
3,1,1,1,3059.29553920488
0,2,1,1,3167.35226518321
1,2,1,1,3108.99884215186
2,2,1,1,3107.16357471334
3,2,1,1,3081.46649927905
0,3,1,1,3109.46571245846
1,3,1,1,3103.0841836288
2,3,1,1,3096.12833583103
3,3,1,1,3117.44102784772
