"Var1","Var2","Var3","Var4","RMSE_tt"
0,0,0,0,6184.92348459677
1,0,0,0,4356.20732716759
2,0,0,0,4504.17922204331
3,0,0,0,4663.61151092095
0,1,0,0,5706.77319645159
1,1,0,0,4616.59863389016
2,1,0,0,4577.29526103329
3,1,0,0,4672.05271290336
0,2,0,0,5428.08210926575
1,2,0,0,4543.04422233841
2,2,0,0,4594.12304932726
3,2,0,0,4551.78048863273
0,3,0,0,5093.46990544988
1,3,0,0,4668.3457996879
2,3,0,0,4685.89568915675
3,3,0,0,4455.06588717795
0,0,1,0,6577.449206756
1,0,1,0,4309.36575152874
2,0,1,0,4349.24637258333
3,0,1,0,4439.20028396276
0,1,1,0,5900.5461187393
1,1,1,0,4415.12456544511
2,1,1,0,4387.07977124464
3,1,1,0,4457.10845072291
0,2,1,0,5515.31053387211
1,2,1,0,4376.61659650936
2,2,1,0,4423.80685538759
3,2,1,0,4427.83478482465
0,3,1,0,5002.97253417662
1,3,1,0,4462.25295489107
2,3,1,0,4461.86331975116
3,3,1,0,4383.42623520135
0,0,0,1,6586.87465341087
1,0,0,1,3907.68468842121
2,0,0,1,3786.37011298897
3,0,0,1,3672.68410347742
0,1,0,1,5647.15386827681
1,1,0,1,3727.06814572603
2,1,0,1,3711.1474698348
3,1,0,1,3665.91747756712
0,2,0,1,4938.80021062255
1,2,0,1,3692.42163842801
2,2,0,1,3639.04918367388
3,2,0,1,3679.13716588302
0,3,0,1,4404.4709383039
1,3,0,1,3677.71467099953
2,3,0,1,3667.92542668574
3,3,0,1,3704.50519199029
0,0,1,1,6273.02963356707
1,0,1,1,3844.4665777463
2,0,1,1,3733.20790872565
3,0,1,1,3574.90155229319
0,1,1,1,5351.3672283192
1,1,1,1,3648.12127342617
2,1,1,1,3629.39934888682
3,1,1,1,3573.11338350733
0,2,1,1,4751.08682260473
1,2,1,1,3605.78775474729
2,2,1,1,3648.56357037408
3,2,1,1,3580.65624231242
0,3,1,1,4292.86339977937
1,3,1,1,3602.65466077977
2,3,1,1,3600.80319461938
3,3,1,1,3599.63358675739
