"year","month","day","caudal"
1975,1,1,13735
1975,2,1,15430
1975,3,1,15274
1975,4,1,14250
1975,5,1,15252
1975,6,1,12532
1975,7,1,10785
1975,8,1,10943
1975,9,1,10811.45
1975,10,1,14360.02
1975,11,1,14934
1975,12,1,14905
1976,1,1,16579
1976,2,1,17210
1976,3,1,18689
1976,4,1,16694
1976,5,1,12691
1976,6,1,13729
1976,7,1,13347
1976,8,1,11783
1976,9,1,12992.45
1976,10,1,12825.45
1976,11,1,14914
1976,12,1,15695
1977,1,1,18125
1977,2,1,24815
1977,3,1,25915
1977,4,1,17564
1977,5,1,16392
1977,6,1,12247
1977,7,1,12816
1977,8,1,11106
1977,9,1,10448.45
1977,10,1,10731.45
1977,11,1,11156.45
1977,12,1,14134.04
1978,1,1,15654
1978,2,1,17028
1978,3,1,14576
1978,4,1,12942
1978,5,1,9687
1978,6,1,10000
1978,7,1,10237
1978,8,1,12509
1978,9,1,11375.55
1978,10,1,10983.8
1978,11,1,11330
1978,12,1,12656
1979,1,1,11558
1979,2,1,14564
1979,3,1,15975
1979,4,1,14567
1979,5,1,13796
1979,6,1,17177
1979,7,1,15224
1979,8,1,13933
1979,9,1,15586.55
1979,10,1,17764.55
1979,11,1,19375.55
1979,12,1,18990.93
1980,1,1,18072
1980,2,1,18148
1980,3,1,22735
1980,4,1,20839
1980,5,1,16455
1980,6,1,16100
1980,7,1,15256
1980,8,1,14827
1980,9,1,14898.55
1980,10,1,16073.55
1980,11,1,15971.55
1980,12,1,15029.88
1981,1,1,17355
1981,2,1,22183
1981,3,1,20763
1981,4,1,15892
1981,5,1,15861
1981,6,1,13773
1981,7,1,12672
1981,8,1,11121
1981,9,1,10282.55
1981,10,1,10464.55
1981,11,1,11019.55
1981,12,1,13996.7
1982,1,1,18603
1982,2,1,20042
1982,3,1,19414
1982,4,1,19682
1982,5,1,19591
1982,6,1,16534
1982,7,1,19610
1982,8,1,24385
1982,9,1,19785.55
1982,10,1,17089.55
1982,11,1,15103.55
1982,12,1,22395.89
1983,1,1,24560
1983,2,1,24037
1983,3,1,27239
1983,4,1,24548
1983,5,1,25415
1983,6,1,28986
1983,7,1,32465
1983,8,1,24610
1983,9,1,19247.55
1983,10,1,23403.72
1983,11,1,23236
1983,12,1,20970
1984,1,1,20319
1984,2,1,21586
1984,3,1,16561
1984,4,1,15666
1984,5,1,16851
1984,6,1,17278
1984,7,1,16700
1984,8,1,13887
1984,9,1,14022.55
1984,10,1,14960.83
1984,11,1,15799
1984,12,1,17303
1985,1,1,16657
1985,2,1,16666
1985,3,1,20284
1985,4,1,22398
1985,5,1,22518
1985,6,1,20972
1985,7,1,18242
1985,8,1,17101
1985,9,1,17041.45
1985,10,1,14657.45
1985,11,1,12910.45
1985,12,1,10217.24
1986,1,1,9273
1986,2,1,10433
1986,3,1,13443
1986,4,1,16843
1986,5,1,21228
1986,6,1,21467
1986,7,1,18712
1986,8,1,15549
1986,9,1,13596.45
1986,10,1,14756.01
1986,11,1,13580
1986,12,1,12588
1987,1,1,14215
1987,2,1,14435
1987,3,1,16563
1987,4,1,16548
1987,5,1,18800
1987,6,1,23732
1987,7,1,21398
1987,8,1,17135
1987,9,1,12718.55
1987,10,1,11184.71
1987,11,1,13245
1987,12,1,14374
1988,1,1,13325
1988,2,1,14900
1988,3,1,14948
1988,4,1,14311
1988,5,1,15296
1988,6,1,17763
1988,7,1,18190
1988,8,1,15938
1988,9,1,14160.09
1988,10,1,12291
1988,11,1,11143
1988,12,1,9157
1989,1,1,9746
1989,2,1,16052
1989,3,1,19189
1989,4,1,17990
1989,5,1,16608
1989,6,1,14435
1989,7,1,14714
1989,8,1,15096
1989,9,1,17625.25
1989,10,1,21005
1989,11,1,18363
1989,12,1,13484
1990,1,1,14555
1990,2,1,24686
1990,3,1,17308
1990,4,1,15000
1990,5,1,18708
1990,6,1,19779
1990,7,1,20685
1990,8,1,18509
1990,9,1,19136.55
1990,10,1,21404.55
1990,11,1,21221.55
1990,12,1,18703.55
1991,1,1,14122.94
1991,2,1,14213
1991,3,1,15171
1991,4,1,16120
1991,5,1,20019
1991,6,1,16846
1991,7,1,16494
1991,8,1,13579
1991,9,1,11512.55
1991,10,1,12357.55
1991,11,1,12320.64
1991,12,1,12296
1992,1,1,16409
1992,2,1,16339
1992,3,1,17417
1992,4,1,19272
1992,5,1,24371
1992,6,1,33050
1992,7,1,27298
1992,8,1,20330
1992,9,1,17848.04
1992,10,1,17908
1992,11,1,20552
1992,12,1,21642
1993,1,1,21636
1993,2,1,20249
1993,3,1,20770
1993,4,1,18551
1993,5,1,15859
1993,6,1,17881
1993,7,1,14348
1993,8,1,13176
1993,9,1,11419.36
1993,10,1,16213
1993,11,1,19823
1993,12,1,15760
1994,1,1,13501
1994,2,1,16756
1994,3,1,18527
1994,4,1,15190
1994,5,1,14235
1994,6,1,16159
1994,7,1,18866
1994,8,1,15172
1994,9,1,11490.45
1994,10,1,11605.16
1994,11,1,14939
1994,12,1,15520
1995,1,1,14817
1995,2,1,21207
1995,3,1,25932
1995,4,1,22333
1995,5,1,19004
1995,6,1,15397
1995,7,1,14086
1995,8,1,13295
1995,9,1,11802.55
1995,10,1,13822.55
1995,11,1,15065.55
1995,12,1,11892.55
1996,1,1,10947.92
1996,2,1,16090
1996,3,1,16867
1996,4,1,19092
1996,5,1,18081
1996,6,1,13857
1996,7,1,12878
1996,8,1,10903
1996,9,1,11238.55
1996,10,1,13992.55
1996,11,1,20663.87
1996,12,1,18270
1997,1,1,19682
1997,2,1,22880
1997,3,1,26409
1997,4,1,15909
1997,5,1,12664
1997,6,1,14847
1997,7,1,18501
1997,8,1,17834
1997,9,1,15513.55
1997,10,1,16520.55
1997,11,1,20666.55
1997,12,1,22253.76
1998,1,1,22610
1998,2,1,21918
1998,3,1,23068
1998,4,1,25629
1998,5,1,29046
1998,6,1,23405
1998,7,1,18987
1998,8,1,16765
1998,9,1,19382.55
1998,10,1,20996.55
1998,11,1,21053.55
1998,12,1,14481.55
1999,1,1,14209.55
1999,2,1,17964.63
1999,3,1,18187
1999,4,1,17235
1999,5,1,16330
1999,6,1,14661
1999,7,1,17900
1999,8,1,14751
1999,9,1,11927.45
1999,10,1,10804.27
1999,11,1,10143
1999,12,1,10310
2000,1,1,10110
2000,2,1,11064
2000,3,1,12296
2000,4,1,14011
2000,5,1,14445
2000,6,1,13671
2000,7,1,13961
2000,8,1,12390
2000,9,1,13523.55
2000,10,1,15618.92
2000,11,1,16339
2000,12,1,14044
2001,1,1,14078
2001,2,1,16614
2001,3,1,18024
2001,4,1,16090
2001,5,1,14540
2001,6,1,13058
2001,7,1,11725
2001,8,1,10915
2001,9,1,10606.45
2001,10,1,13132.19
2001,11,1,12323
2001,12,1,12718
2002,1,1,11495
2002,2,1,14609
2002,3,1,15889
2002,4,1,16589
2002,5,1,16521
2002,6,1,16708
2002,7,1,14695
2002,8,1,13372
2002,9,1,12808.11
2002,10,1,14213
2002,11,1,14454
2002,12,1,16815
2003,1,1,16385
2003,2,1,15574
2003,3,1,17518
2003,4,1,17211
2003,5,1,16163
2003,6,1,13296
2003,7,1,11949
2003,8,1,11603
2003,9,1,11458.16
2003,10,1,12515.68
2003,11,1,12566.75
2003,12,1,13856.57
2004,1,1,15932.3
2004,2,1,12965.37
2004,3,1,11577.19
2004,4,1,11915.72
2004,5,1,12901.69
2004,6,1,14370.41
2004,7,1,13752.26
2004,8,1,14039.14
2004,9,1,11691.68
2004,10,1,11534.98
2004,11,1,15347.78
2004,12,1,16565.64
2005,1,1,14948.01
2005,2,1,16952.13
2005,3,1,14415.54
2005,4,1,13548.3
2005,5,1,13251.33
2005,6,1,14107.73
2005,7,1,13980.9
2005,8,1,11705.99
2005,9,1,11608.93
2005,10,1,13711.07
2005,11,1,15512.31
2005,12,1,13629.89
2006,1,1,13754.13
2006,2,1,12913.06
2006,3,1,13704.1
2006,4,1,14699.94
2006,5,1,13232.64
2006,6,1,12808.76
2006,7,1,12066.72
2006,8,1,11844.15
2006,9,1,11849.86
2006,10,1,13419.15
2006,11,1,13677.09
2006,12,1,14151.81
2007,1,1,15348.5
2007,2,1,17302.93
2007,3,1,19668.88
2007,4,1,17497.83
2007,5,1,16367.37
2007,6,1,16216.45
2007,7,1,13700.78
2007,8,1,12918.1
2007,9,1,12161.01
2007,10,1,12182.88
2007,11,1,13159.58
2007,12,1,13348.07
2008,1,1,13048.04
2008,2,1,13115.93
2008,3,1,13671.08
2008,4,1,14086.3
2008,5,1,14585.29
2008,6,1,13171.1
2008,7,1,12975.29
2008,8,1,13471.08
2008,9,1,12902.4
2008,10,1,13005.77
2008,11,1,14825.94
2008,12,1,12604.21
2009,1,1,11236.3
2009,2,1,12154.89
2009,3,1,12815.38
2009,4,1,12139.44
2009,5,1,10852.91
2009,6,1,11824.96
2009,7,1,12984.54
2009,8,1,14030.48
2009,9,1,13886.57
2009,10,1,15189.3
2009,11,1,17186.6
2009,12,1,18594.78
2010,1,1,19557.38
2010,2,1,20588.8
2010,3,1,18904.1
2010,4,1,17543.66
2010,5,1,17365.79
2010,6,1,16082.84
2010,7,1,13883.86
2010,8,1,13741.1
2010,9,1,12571.49
2010,10,1,12976.32
2010,11,1,12784.89
2010,12,1,13717.28
2011,1,1,14213.04
2011,2,1,15453.85
2011,3,1,17173.44
2011,4,1,18557.63
2011,5,1,17426.57
2011,6,1,14231.79
2011,7,1,14216.68
2011,8,1,15875.49
2011,9,1,16590.49
2011,10,1,15295.91
2011,11,1,15611.61
2011,12,1,14156.23
2012,1,1,12342.61
2012,2,1,13116.83
2012,3,1,12723.37
2012,4,1,12898.91
2012,5,1,14141.78
2012,6,1,14111.48
2012,7,1,15860.1
2012,8,1,14372.26
2012,9,1,12437.02
2012,10,1,12770.95
2012,11,1,12933.11
2012,12,1,12780.07
2013,1,1,13672.44
2013,2,1,12377.27
2013,3,1,14816.25
2013,4,1,15464.51
2013,5,1,15661.08
2013,6,1,15263.29
2013,7,1,17866.65
2013,8,1,16847.34
2013,9,1,13261.16
2013,10,1,13171.47
2013,11,1,14227.53
2013,12,1,13631.95
2014,1,1,13042.71
2014,2,1,13993.63
2014,3,1,13206.49
2014,4,1,15445.46
2014,5,1,16224.44
2014,6,1,16876.62
2014,7,1,19627.71
2014,8,1,18303.38
2014,9,1,15480.03
2014,10,1,16066.39
2014,11,1,14990.03
2014,12,1,14917.31
2015,1,1,16936.49
2015,2,1,15983.49
2015,3,1,15580.81
2015,4,1,13882.84
2015,5,1,14005.32
2015,6,1,14778.58
2015,7,1,15795.92
2015,8,1,17791.71
2015,9,1,14710.71
2015,10,1,13549.93
2015,11,1,15399.51
2015,12,1,19007.86
2016,1,1,25478.56
2016,2,1,22412.6
2016,3,1,19932.71
2016,4,1,21956.86
2016,5,1,18921.25
2016,6,1,17409.94
2016,7,1,17260.23
2016,8,1,14457.83
2016,9,1,14623.68
2016,10,1,14047.09
2016,11,1,15542.82
2016,12,1,14919.51
2017,1,1,16422.85
2017,2,1,14908.4
2017,3,1,15495.82
2017,4,1,15296.54
2017,5,1,17974.08
2017,6,1,19778.62
2017,7,1,18581.53
2017,8,1,14431.11
2017,9,1,13327.51
2017,10,1,14020.12
2017,11,1,16403.62
2017,12,1,16005.08
2018,1,1,16165.69
2018,2,1,18244.84
2018,3,1,17870.57
2018,4,1,17710.26
2018,5,1,16779.04
2018,6,1,14064.8
2018,7,1,12678.96
2018,8,1,12355.17
2018,9,1,11882.98
2018,10,1,14262.17
2018,11,1,17368.21
2018,12,1,18256.06
2019,1,1,18812.48
2019,2,1,17799.38
2019,3,1,14892.42
2019,4,1,15434.81
2019,5,1,17440.91
2019,6,1,18775.67
2019,7,1,15997.75
2019,8,1,13028.45
2019,9,1,13523.42
2019,10,1,10563.88
2019,11,1,11316.6
2019,12,1,11221.45
2020,1,1,12436.65
2020,2,1,13338.99
2020,3,1,11996.81
2020,4,1,9152.68
2020,5,1,8648.04
2020,6,1,9778.28
2020,7,1,9656.78
2020,8,1,8915.18
2020,9,1,10217.06
2020,10,1,9843.04
2020,11,1,8760.9
2020,12,1,10274.26
2021,1,1,10238.92
2021,2,1,14781.77
2021,3,1,12693.58
2021,4,1,11350.55
2021,5,1,9524.16
2021,6,1,8715.25
2021,7,1,7861.61
2021,8,1,7491.77
2021,9,1,8613.84
2021,10,1,9342.09
2021,11,1,10425.02
2021,12,1,9029.59
