Fecha,CO
01-ene,0.425
02-ene,0.48
03-ene,0.177083333
04-ene,0.27125
05-ene,0.27375
06-ene,0.352916667
07-ene,0.48875
08-ene,0.484166667
09-ene,0.3925
10-ene,0.377083333
11-ene,0.343333333
12-ene,0.395416667
13-ene,0.4825
14-ene,0.575416667
15-ene,0.592083333
16-ene,0.586666667
17-ene,0.420833333
18-ene,0.365
19-ene,0.437916667
20-ene,0.379583333
21-ene,0.4975
22-ene,0.574761905
23-ene,0.188571429
24-ene,0.182083333
25-ene,0.294166667
26-ene,0.58
27-ene,0.274583333
28-ene,0.4275
29-ene,0.47125
30-ene,0.452916667
31-ene,0.3175
1-Feb,0.46625
2-Feb,0.29
3-Feb,0.177083333
4-Feb,0.281666667
5-Feb,0.30375
6-Feb,0.351666667
7-Feb,0.397916667
8-Feb,0.445416667
9-Feb,0.34875
10-Feb,0.520833333
11-Feb,0.237083333
12-Feb,0.116666667
13-Feb,0.196666667
14-Feb,0.37
15-Feb,0.6325
16-Feb,0.410416667
17-Feb,0.275833333
18-Feb,0.322916667
19-Feb,0.4375
20-Feb,0.52875
21-Feb,0.451666667
22-Feb,0.71375
23-Feb,0.650416667
24-Feb,0.503333333
25-Feb,0.41125
26-Feb,0.475416667
27-Feb,0.637916667
28-Feb,0.632083333
1-Mar,0.597083333
2-Mar,0.389166667
3-Mar,0.361666667
4-Mar,0.415
5-Mar,0.743333333
6-Mar,0.552916667
7-Mar,0.644583333
8-Mar,0.364444444
9-Mar,0.149444444
10-Mar,0.229166667
11-Mar,0.22125
12-Mar,0.455
13-Mar,0.336111111
14-Mar,0.429583333
15-Mar,0.462916667
16-Mar,0.374166667
17-Mar,0.36875
18-Mar,0.6025
19-Mar,0.385
20-Mar,0.382083333
21-Mar,0.455
22-Mar,0.46
23-Mar,0.470833333
24-Mar,0.364166667
25-Mar,0.328333333
26-Mar,0.36625
27-Mar,0.51625
28-Mar,0.415
29-Mar,0.504166667
30-Mar,0.764583333
31-Mar,0.565833333
01-abr,0.564583333
02-abr,0.602083333
03-abr,0.52625
04-abr,0.565
05-abr,0.480833333
06-abr,0.68375
07-abr,0.734166667
08-abr,0.823333333
09-abr,0.706666667
10-abr,0.485
11-abr,0.421666667
12-abr,0.665833333
13-abr,0.513333333
14-abr,0.61875
15-abr,0.495833333
16-abr,0.616666667
17-abr,0.53875
18-abr,0.552916667
19-abr,0.565833333
20-abr,0.434166667
21-abr,0.464166667
22-abr,0.644583333
23-abr,0.40875
24-abr,0.623333333
25-abr,0.405416667
26-abr,0.470833333
27-abr,0.538333333
28-abr,0.634583333
29-abr,0.7125
30-abr,0.4975
