titas1_500,titas2_500,titas3_500,sigma2_500,ces_500,titas1_100,titas2_100,X.titas3_100.,titas3_100,sigma2_100,ces_100
0.78751464,0.283698979,-0.167429348,0.907937054,-0.005550067,0.674176769,0.268907299,titas3_100,-0.063769991,0.828938046,-0.104038075
0.705160198,0.222454726,-0.295567402,0.917165179,-0.032994764,0.6043064,-0.008662817,titas3_100,-0.522991867,0.971426014,-0.293181031
0.738544554,0.289364063,-0.285891597,1.003880033,0.032154458,0.753692426,0.264254058,titas3_100,-0.259943553,1.098760999,-0.120836065
0.689182172,0.174741019,-0.264956292,1.08401847,0.017588669,0.616201433,0.09063277,titas3_100,-0.324436634,1.199156607,-0.19813933
0.659402791,0.195497927,-0.311852419,1.057554261,-0.045389884,0.508369009,0.126017182,titas3_100,-0.333145222,1.274589941,0.113540447
0.630684868,0.120282872,-0.41783504,1.059997612,-0.104537254,0.545845689,0.17369572,titas3_100,-0.460265092,0.976854061,-0.320427878
0.714554342,0.227731503,-0.248017249,1.053711091,0.008222952,0.654172936,0.365202886,titas3_100,-0.109657229,1.29262028,-0.108194936
0.722732119,0.233829026,-0.257169664,1.018563079,-0.101264932,0.660876899,0.278305191,titas3_100,-0.207175352,1.037544075,-0.448322966
0.733084481,0.221974625,-0.32979571,0.930115832,-0.002852135,0.728570953,0.273813103,titas3_100,-0.218738563,0.944927561,0.013080084
0.748380105,0.283194025,-0.239452674,0.89888861,0.021801714,0.662336003,0.208343301,titas3_100,-0.347537173,0.852173384,0.05453528
0.689800619,0.220579735,-0.256081281,0.970264692,0.158544729,0.757767577,0.35738501,titas3_100,-0.177209638,0.959808756,0.029175185
0.687257259,0.226638644,-0.260312565,1.015408743,-0.032464446,0.64464807,0.151832871,titas3_100,-0.306720956,1.050241669,-0.051743111
0.680079898,0.216323304,-0.336937515,1.006359288,0.057760734,0.842050312,0.306331672,titas3_100,-0.176178756,0.916398619,0.223035339
