"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","1","2","581.69","(1,2)","1","2","568.51","(1,2)"
"2","1","2","571.56","(1,2)","1","2","558.39","(1,2)"
"3","1","2","581.13","(1,2)","1","2","567.96","(1,2)"
"4","1","2","614.98","(1,2)","1","2","601.81","(1,2)"
"5","2","0","581.72","(2,0)","1","2","569.37","(1,2)"
"6","2","0","603.62","(2,0)","2","2","588.76","(2,2)"
"7","2","0","582.2","(2,0)","1","2","570.1","(1,2)"
"8","2","0","593.42","(2,0)","2","2","578.91","(2,2)"
"9","2","0","611.97","(2,0)","2","2","599.07","(2,2)"
"10","2","0","584.05","(2,0)","2","0","574.17","(2,0)"
"11","1","2","585.85","(1,2)","1","2","572.67","(1,2)"
"12","2","0","575.71","(2,0)","2","1","565.18","(2,1)"
"13","2","0","594.56","(2,0)","2","0","584.68","(2,0)"
"14","1","2","585.09","(1,2)","1","2","571.92","(1,2)"
"15","2","2","583.45","(2,2)","2","2","566.98","(2,2)"
"16","2","0","584.63","(2,0)","2","2","572.82","(2,2)"
"17","2","2","600","(2,2)","2","2","583.53","(2,2)"
"18","2","2","581.48","(2,2)","2","2","565.02","(2,2)"
"19","2","2","571.6","(2,2)","2","2","555.13","(2,2)"
"20","1","2","580.56","(1,2)","1","2","567.39","(1,2)"
"21","2","2","563.55","(2,2)","2","2","547.08","(2,2)"
"22","2","0","552.35","(2,0)","2","0","542.47","(2,0)"
"23","1","1","592.16","(1,1)","2","1","581.32","(2,1)"
"24","2","2","586.92","(2,2)","2","2","570.46","(2,2)"
"25","2","0","566.56","(2,0)","2","1","554.78","(2,1)"
"26","2","0","594.8","(2,0)","2","0","584.92","(2,0)"
"27","1","2","569.28","(1,2)","1","2","556.1","(1,2)"
"28","2","2","589.45","(2,2)","2","2","572.98","(2,2)"
"29","2","0","586.98","(2,0)","2","0","577.1","(2,0)"
"30","1","2","575.1","(1,2)","1","2","561.93","(1,2)"
"31","2","0","578.98","(2,0)","2","1","569.01","(2,1)"
"32","2","0","588.72","(2,0)","2","0","578.84","(2,0)"
"33","2","0","598.92","(2,0)","2","2","585.54","(2,2)"
"34","2","2","588.01","(2,2)","2","2","571.55","(2,2)"
"35","1","2","567.83","(1,2)","2","2","553.64","(2,2)"
"36","1","2","571.23","(1,2)","1","2","558.06","(1,2)"
"37","1","2","578.88","(1,2)","1","2","565.71","(1,2)"
"38","2","0","583.33","(2,0)","2","2","572.28","(2,2)"
"39","2","2","612.8","(2,2)","2","2","596.33","(2,2)"
"40","1","2","601.19","(1,2)","1","2","588.02","(1,2)"
"41","2","0","583.94","(2,0)","2","0","574.06","(2,0)"
"42","2","0","548.02","(2,0)","2","2","536.5","(2,2)"
"43","2","2","585.89","(2,2)","2","2","569.42","(2,2)"
"44","1","1","569.86","(1,1)","2","1","558.5","(2,1)"
"45","1","2","584.85","(1,2)","1","2","571.68","(1,2)"
"46","2","0","589.41","(2,0)","2","2","576.83","(2,2)"
"47","2","0","642.55","(2,0)","2","2","629.7","(2,2)"
"48","1","1","556.17","(1,1)","1","2","543.23","(1,2)"
"49","2","1","595.13","(2,1)","2","2","579.64","(2,2)"
"50","2","2","579.75","(2,2)","2","2","563.28","(2,2)"
"51","2","0","581.98","(2,0)","2","2","566.12","(2,2)"
"52","2","1","572.3","(2,1)","2","1","559.13","(2,1)"
"53","2","0","561.57","(2,0)","2","0","551.69","(2,0)"
"54","1","1","556.07","(1,1)","2","2","542.39","(2,2)"
"55","2","0","556.84","(2,0)","2","0","546.96","(2,0)"
"56","2","0","570.37","(2,0)","2","0","560.49","(2,0)"
"57","2","0","574.97","(2,0)","2","0","565.09","(2,0)"
"58","1","2","555.93","(1,2)","1","2","542.76","(1,2)"
"59","2","0","588.76","(2,0)","2","0","578.88","(2,0)"
"60","2","0","598.09","(2,0)","2","2","581.96","(2,2)"
"61","2","0","567.67","(2,0)","2","0","557.79","(2,0)"
"62","2","0","571.17","(2,0)","2","1","559.59","(2,1)"
"63","2","1","579.4","(2,1)","2","1","566.22","(2,1)"
"64","1","2","569.6","(1,2)","1","2","556.42","(1,2)"
"65","2","0","632.49","(2,0)","1","2","619.86","(1,2)"
"66","2","0","605.86","(2,0)","2","0","595.98","(2,0)"
"67","1","2","603.63","(1,2)","2","2","590.11","(2,2)"
"68","1","2","578.4","(1,2)","1","2","565.22","(1,2)"
"69","2","2","629.68","(2,2)","2","2","613.22","(2,2)"
"70","2","0","604.21","(2,0)","2","0","594.33","(2,0)"
"71","1","2","608.65","(1,2)","1","2","595.47","(1,2)"
"72","1","2","589.83","(1,2)","1","2","576.66","(1,2)"
"73","1","2","580.94","(1,2)","1","2","567.76","(1,2)"
"74","2","0","595.73","(2,0)","2","0","585.85","(2,0)"
"75","1","2","617.95","(1,2)","2","2","602.47","(2,2)"
"76","2","0","581.58","(2,0)","1","2","569.04","(1,2)"
"77","2","0","591.42","(2,0)","2","0","581.54","(2,0)"
"78","2","0","563.39","(2,0)","2","1","552.96","(2,1)"
"79","2","0","577.84","(2,0)","2","0","567.96","(2,0)"
"80","2","0","602.39","(2,0)","2","0","592.51","(2,0)"
"81","1","1","575.22","(1,1)","1","2","564.86","(1,2)"
"82","2","0","557.82","(2,0)","2","0","547.94","(2,0)"
"83","2","0","583.96","(2,0)","1","2","571.26","(1,2)"
"84","2","2","594.62","(2,2)","2","2","578.15","(2,2)"
"85","1","2","594.11","(1,2)","1","2","580.94","(1,2)"
"86","2","2","584.11","(2,2)","2","2","567.65","(2,2)"
"87","1","2","598.25","(1,2)","1","2","585.07","(1,2)"
"88","2","0","568.09","(2,0)","2","0","558.21","(2,0)"
"89","2","0","608.18","(2,0)","2","0","598.3","(2,0)"
"90","2","0","562.81","(2,0)","2","2","549.6","(2,2)"
"91","2","0","560.86","(2,0)","2","2","547.36","(2,2)"
"92","2","2","603.96","(2,2)","2","2","587.5","(2,2)"
"93","2","0","587.67","(2,0)","2","0","577.79","(2,0)"
"94","2","0","552.21","(2,0)","2","0","542.33","(2,0)"
"95","1","2","585.7","(1,2)","1","2","572.52","(1,2)"
"96","2","0","589.6","(2,0)","2","0","579.72","(2,0)"
"97","1","2","552.93","(1,2)","1","2","539.75","(1,2)"
"98","1","1","564.34","(1,1)","1","1","554.46","(1,1)"
"99","2","0","589.39","(2,0)","2","0","579.51","(2,0)"
"100","2","0","567.93","(2,0)","2","2","557.12","(2,2)"
"101","1","2","595.34","(1,2)","1","2","582.16","(1,2)"
"102","2","0","597.74","(2,0)","1","2","585.88","(1,2)"
"103","2","0","596.78","(2,0)","2","0","586.9","(2,0)"
"104","2","0","557.34","(2,0)","2","0","547.46","(2,0)"
"105","2","0","580.65","(2,0)","1","2","569.96","(1,2)"
"106","2","0","561.91","(2,0)","2","1","549.75","(2,1)"
"107","2","2","564.43","(2,2)","2","2","547.96","(2,2)"
"108","1","2","591.15","(1,2)","2","2","576.46","(2,2)"
"109","2","0","567.91","(2,0)","2","2","557.27","(2,2)"
"110","1","2","566.68","(1,2)","1","2","553.51","(1,2)"
"111","1","2","574.75","(1,2)","1","2","561.57","(1,2)"
"112","1","1","584.51","(1,1)","1","1","574.63","(1,1)"
"113","1","2","582.79","(1,2)","1","2","569.62","(1,2)"
"114","1","2","580.41","(1,2)","1","2","567.24","(1,2)"
"115","1","2","591.78","(1,2)","1","2","578.6","(1,2)"
"116","2","2","567.14","(2,2)","2","2","550.68","(2,2)"
"117","2","0","569.98","(2,0)","2","2","553.83","(2,2)"
"118","1","2","591.78","(1,2)","1","2","578.61","(1,2)"
"119","2","0","575.3","(2,0)","2","0","565.42","(2,0)"
"120","2","0","597.66","(2,0)","2","0","587.78","(2,0)"
"121","1","2","578.34","(1,2)","1","2","565.17","(1,2)"
"122","1","2","619.69","(1,2)","1","2","606.52","(1,2)"
"123","1","1","567.25","(1,1)","2","2","555.14","(2,2)"
"124","2","2","598.87","(2,2)","2","2","582.4","(2,2)"
"125","2","0","602.3","(2,0)","1","2","590.44","(1,2)"
"126","2","2","619.88","(2,2)","2","2","603.41","(2,2)"
"127","2","0","589.14","(2,0)","2","0","579.26","(2,0)"
"128","1","2","614.14","(1,2)","2","2","600.93","(2,2)"
"129","2","0","597.63","(2,0)","2","2","584.02","(2,2)"
"130","2","0","570.53","(2,0)","1","2","558.83","(1,2)"
"131","1","1","565.65","(1,1)","1","1","555.77","(1,1)"
