"","p_bic","q_bic","BIC","ID_bic","p_aic","q_aic","AIC","ID_aic"
"1","2","0","142.5","(2,0)","2","1","134.67","(2,1)"
"2","1","2","163.54","(1,2)","1","2","153.98","(1,2)"
"3","2","0","146.07","(2,0)","1","2","138.32","(1,2)"
"4","2","0","154.19","(2,0)","1","2","145.87","(1,2)"
"5","0","2","143.09","(0,2)","1","2","134.31","(1,2)"
"6","1","1","157.74","(1,1)","1","1","150.09","(1,1)"
"7","1","1","148.72","(1,1)","1","1","141.08","(1,1)"
"8","2","0","151.98","(2,0)","2","0","144.33","(2,0)"
"9","2","0","164.77","(2,0)","2","0","157.13","(2,0)"
"10","2","0","173.98","(2,0)","1","2","165.94","(1,2)"
"11","2","0","152.77","(2,0)","1","2","144.99","(1,2)"
"12","2","0","149.34","(2,0)","2","0","141.69","(2,0)"
"13","2","0","155.29","(2,0)","1","2","147.24","(1,2)"
"14","2","0","174.08","(2,0)","2","0","166.44","(2,0)"
"15","1","2","161.25","(1,2)","1","2","151.69","(1,2)"
"16","2","0","162.78","(2,0)","1","2","154.62","(1,2)"
"17","2","0","150.7","(2,0)","2","0","143.06","(2,0)"
"18","2","0","160.78","(2,0)","2","0","153.13","(2,0)"
"19","2","0","168.66","(2,0)","1","2","160","(1,2)"
"20","2","1","171.16","(2,1)","2","1","161.6","(2,1)"
"21","2","0","168.22","(2,0)","2","0","160.57","(2,0)"
"22","1","2","168.13","(1,2)","1","2","158.57","(1,2)"
"23","2","0","157.82","(2,0)","2","0","150.17","(2,0)"
"24","1","2","151.56","(1,2)","1","2","142","(1,2)"
"25","2","0","168.99","(2,0)","2","0","161.34","(2,0)"
"26","2","0","149.71","(2,0)","2","0","142.06","(2,0)"
"27","2","0","148.75","(2,0)","2","1","141.08","(2,1)"
"28","1","2","162.33","(1,2)","1","2","152.77","(1,2)"
"29","1","1","161.35","(1,1)","1","1","153.7","(1,1)"
"30","2","0","149.27","(2,0)","2","1","141","(2,1)"
"31","2","0","165.83","(2,0)","2","0","158.18","(2,0)"
"32","2","2","164.66","(2,2)","2","2","153.19","(2,2)"
"33","1","1","150.69","(1,1)","1","1","143.05","(1,1)"
"34","2","0","143.69","(2,0)","2","2","135.73","(2,2)"
"35","2","0","146.3","(2,0)","2","0","138.65","(2,0)"
"36","2","0","165.3","(2,0)","2","0","157.65","(2,0)"
"37","2","0","144.66","(2,0)","2","2","134.13","(2,2)"
"38","2","0","138.94","(2,0)","2","0","131.29","(2,0)"
"39","2","0","165.9","(2,0)","1","2","156.57","(1,2)"
"40","2","0","175.05","(2,0)","2","0","167.4","(2,0)"
"41","2","0","157.73","(2,0)","2","0","150.08","(2,0)"
"42","2","0","165.95","(2,0)","1","2","157.13","(1,2)"
"43","2","1","155.21","(2,1)","2","1","145.65","(2,1)"
"44","1","2","156.74","(1,2)","1","2","147.18","(1,2)"
"45","2","0","164.06","(2,0)","2","0","156.41","(2,0)"
"46","2","0","158.67","(2,0)","2","0","151.02","(2,0)"
"47","1","0","140.48","(1,0)","2","0","134.21","(2,0)"
"48","1","2","155.42","(1,2)","1","2","145.86","(1,2)"
"49","2","0","145.13","(2,0)","2","0","137.48","(2,0)"
"50","2","0","146.56","(2,0)","2","2","136.93","(2,2)"
"51","1","1","162.38","(1,1)","2","2","153.33","(2,2)"
"52","1","2","156.52","(1,2)","2","2","146.81","(2,2)"
"53","1","1","149.96","(1,1)","1","1","142.31","(1,1)"
"54","2","0","147.83","(2,0)","2","0","140.18","(2,0)"
"55","2","0","171.17","(2,0)","2","2","160","(2,2)"
"56","1","2","150.76","(1,2)","1","2","141.2","(1,2)"
"57","1","1","153.67","(1,1)","1","1","146.02","(1,1)"
"58","1","2","163.87","(1,2)","1","2","154.31","(1,2)"
"59","1","2","154.27","(1,2)","1","2","144.71","(1,2)"
"60","2","0","144.29","(2,0)","2","0","136.64","(2,0)"
"61","2","0","142.32","(2,0)","2","0","134.67","(2,0)"
"62","1","2","150.9","(1,2)","1","2","141.34","(1,2)"
"63","2","0","145.73","(2,0)","1","2","137.98","(1,2)"
"64","2","0","153.89","(2,0)","2","0","146.24","(2,0)"
"65","2","0","151.73","(2,0)","2","0","144.08","(2,0)"
"66","2","0","164.9","(2,0)","2","0","157.26","(2,0)"
"67","1","2","164.72","(1,2)","1","2","155.16","(1,2)"
"68","2","0","172.5","(2,0)","2","2","161.12","(2,2)"
"69","2","0","169.77","(2,0)","2","0","162.12","(2,0)"
"70","2","0","145.02","(2,0)","2","0","137.38","(2,0)"
"71","2","0","149.06","(2,0)","2","0","141.41","(2,0)"
"72","2","0","133.93","(2,0)","2","0","126.28","(2,0)"
"73","2","2","146.76","(2,2)","2","2","135.29","(2,2)"
"74","2","0","144.48","(2,0)","1","2","135.74","(1,2)"
"75","2","0","148.16","(2,0)","1","2","139.25","(1,2)"
"76","1","2","133.65","(1,2)","1","2","124.09","(1,2)"
"77","2","0","143.84","(2,0)","2","0","136.19","(2,0)"
"78","2","0","155.15","(2,0)","2","2","146.73","(2,2)"
"79","1","2","148.96","(1,2)","2","2","137.73","(2,2)"
"80","1","2","142.73","(1,2)","1","2","133.17","(1,2)"
"81","2","0","150.84","(2,0)","2","0","143.19","(2,0)"
"82","2","0","167.05","(2,0)","2","0","159.4","(2,0)"
"83","2","0","139.79","(2,0)","2","0","132.14","(2,0)"
"84","2","0","156.91","(2,0)","1","2","148.67","(1,2)"
"85","1","1","169.26","(1,1)","1","1","161.61","(1,1)"
"86","1","2","164.81","(1,2)","1","2","155.25","(1,2)"
"87","2","0","153.24","(2,0)","2","0","145.59","(2,0)"
"88","1","1","154.23","(1,1)","1","1","146.58","(1,1)"
"89","1","1","160.62","(1,1)","1","1","152.98","(1,1)"
"90","2","0","166.11","(2,0)","2","0","158.46","(2,0)"
"91","1","2","162.14","(1,2)","1","2","152.58","(1,2)"
"92","1","2","145.67","(1,2)","1","2","136.11","(1,2)"
"93","1","1","181.76","(1,1)","1","1","174.11","(1,1)"
"94","2","0","156.75","(2,0)","2","0","149.1","(2,0)"
"95","2","0","157.76","(2,0)","2","0","150.12","(2,0)"
"96","2","0","150.19","(2,0)","2","0","142.54","(2,0)"
"97","2","0","147.36","(2,0)","2","0","139.72","(2,0)"
"98","1","2","157.86","(1,2)","1","2","148.3","(1,2)"
"99","2","0","152.44","(2,0)","2","1","144.21","(2,1)"
"100","1","2","142.47","(1,2)","1","2","132.91","(1,2)"
"101","2","1","147.06","(2,1)","2","1","137.5","(2,1)"
"102","2","0","148.01","(2,0)","1","2","138.55","(1,2)"
"103","2","0","176.07","(2,0)","1","2","168.04","(1,2)"
"104","2","0","169.34","(2,0)","2","0","161.7","(2,0)"
"105","2","0","139.44","(2,0)","2","1","131.52","(2,1)"
"106","2","0","159.32","(2,0)","2","0","151.67","(2,0)"
"107","2","0","161.51","(2,0)","2","0","153.87","(2,0)"
"108","2","0","150.35","(2,0)","2","2","139.76","(2,2)"
"109","1","2","132.6","(1,2)","2","2","122.1","(2,2)"
"110","2","0","148.93","(2,0)","2","0","141.28","(2,0)"
"111","2","0","175.56","(2,0)","2","0","167.91","(2,0)"
"112","2","0","144.71","(2,0)","2","0","137.06","(2,0)"
"113","1","2","147.13","(1,2)","1","2","137.57","(1,2)"
"114","2","2","160.89","(2,2)","2","2","149.42","(2,2)"
"115","2","0","135.77","(2,0)","2","0","128.12","(2,0)"
"116","1","0","132.36","(1,0)","1","0","126.62","(1,0)"
"117","1","1","168.97","(1,1)","1","1","161.32","(1,1)"
"118","1","2","160.47","(1,2)","1","2","150.91","(1,2)"
"119","1","1","169.52","(1,1)","1","1","161.87","(1,1)"
"120","1","2","176.6","(1,2)","1","2","167.04","(1,2)"
