"","orden_aic","orden_bic"
"1",1,1
"2",NA,NA
"3",NA,NA
"4",NA,NA
"5",1,1
"6",NA,NA
"7",NA,NA
"8",NA,NA
"9",1,1
"10",NA,NA
"11",NA,NA
"12",NA,NA
"13",NA,NA
"14",NA,NA
"15",NA,NA
"16",1,1
"17",NA,NA
"18",NA,NA
"19",1,1
"20",1,1
"21",1,1
"22",1,1
"23",1,1
"24",1,1
"25",1,1
"26",1,1
"27",NA,NA
"28",NA,NA
"29",NA,NA
"30",2,1
"31",2,1
"32",NA,NA
"33",1,1
"34",1,1
"35",NA,NA
"36",1,1
"37",NA,NA
"38",NA,NA
"39",2,2
"40",NA,NA
"41",1,1
"42",1,1
"43",NA,NA
"44",NA,NA
"45",2,2
"46",1,1
"47",1,1
"48",NA,NA
"49",1,1
"50",NA,NA
"51",1,1
"52",NA,NA
"53",1,1
"54",2,1
"55",2,1
"56",1,1
"57",NA,NA
"58",1,1
"59",NA,NA
"60",NA,NA
"61",1,1
"62",NA,NA
"63",1,1
"64",NA,NA
"65",1,1
"66",2,2
"67",1,1
"68",NA,NA
"69",1,1
"70",2,2
"71",NA,NA
"72",NA,NA
"73",2,2
"74",NA,NA
"75",1,1
"76",1,1
"77",1,1
"78",1,1
"79",2,2
"80",1,1
"81",1,1
"82",1,1
"83",1,1
"84",NA,NA
"85",NA,NA
"86",NA,NA
"87",1,1
"88",NA,NA
"89",2,2
"90",NA,NA
"91",1,1
"92",1,1
"93",2,2
"94",1,1
"95",NA,NA
"96",2,2
"97",NA,NA
"98",NA,NA
"99",1,1
"100",2,2
"101",NA,NA
"102",1,1
"103",1,1
"104",NA,NA
"105",NA,NA
"106",NA,NA
"107",1,1
"108",2,2
"109",1,1
"110",NA,NA
"111",NA,NA
"112",1,1
"113",NA,NA
"114",NA,NA
"115",1,1
"116",NA,NA
"117",NA,NA
"118",1,1
"119",2,2
"120",2,2
"121",1,1
"122",NA,NA
"123",2,2
"124",1,1
"125",NA,NA
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",2,2
"130",1,1
"131",NA,NA
"132",NA,NA
"133",NA,NA
"134",1,1
"135",1,1
"136",NA,NA
"137",NA,NA
"138",NA,NA
"139",2,2
"140",NA,NA
"141",2,1
"142",NA,NA
"143",NA,NA
"144",1,1
"145",NA,NA
"146",1,1
"147",NA,NA
"148",1,1
"149",1,1
"150",1,1
"151",1,1
"152",NA,NA
"153",2,2
"154",NA,NA
"155",1,1
"156",NA,NA
"157",NA,NA
"158",1,1
"159",1,1
"160",1,1
"161",NA,NA
"162",2,2
"163",NA,NA
"164",2,2
"165",2,1
"166",NA,NA
"167",NA,NA
"168",NA,NA
"169",NA,NA
"170",1,1
"171",1,1
"172",NA,NA
"173",NA,NA
"174",NA,NA
"175",1,1
"176",NA,NA
"177",2,2
"178",NA,NA
"179",NA,NA
"180",NA,NA
"181",NA,NA
"182",NA,NA
"183",1,1
"184",NA,NA
"185",NA,NA
"186",1,1
"187",2,2
"188",1,1
"189",NA,NA
"190",NA,NA
"191",1,1
"192",2,2
"193",1,1
"194",2,2
"195",1,1
"196",NA,NA
"197",NA,NA
"198",1,1
"199",NA,NA
"200",1,1
"201",NA,NA
"202",2,2
"203",NA,NA
"204",NA,NA
"205",NA,NA
"206",1,1
"207",1,1
"208",NA,NA
"209",2,2
"210",2,2
"211",NA,NA
"212",NA,NA
"213",1,1
"214",1,1
"215",1,1
"216",NA,NA
"217",1,1
"218",1,1
"219",1,1
"220",1,1
"221",NA,NA
"222",NA,NA
"223",2,2
"224",NA,NA
"225",NA,NA
"226",1,1
"227",2,2
"228",2,2
"229",NA,NA
"230",1,1
"231",1,1
"232",2,2
"233",NA,NA
"234",1,1
"235",2,2
"236",NA,NA
"237",NA,NA
"238",2,2
"239",NA,NA
"240",NA,NA
"241",1,1
"242",1,1
"243",2,2
"244",2,2
"245",NA,NA
"246",2,2
"247",NA,NA
"248",2,2
"249",NA,NA
"250",1,1
"251",NA,NA
"252",1,1
"253",NA,NA
"254",1,1
"255",NA,NA
"256",NA,NA
"257",NA,NA
"258",NA,NA
"259",2,2
"260",2,2
"261",1,1
"262",NA,NA
"263",1,1
"264",2,2
"265",NA,NA
"266",NA,NA
"267",1,1
"268",1,1
"269",NA,NA
"270",NA,NA
"271",NA,NA
"272",NA,NA
"273",NA,NA
"274",1,1
"275",NA,NA
"276",1,1
"277",NA,NA
"278",1,1
"279",NA,NA
"280",NA,NA
"281",NA,NA
"282",1,1
"283",NA,NA
"284",NA,NA
"285",NA,NA
"286",NA,NA
"287",NA,NA
"288",1,1
"289",NA,NA
"290",NA,NA
"291",1,1
"292",NA,NA
"293",1,1
"294",NA,NA
"295",1,1
"296",NA,NA
"297",1,1
"298",NA,NA
"299",1,1
"300",1,1
"301",NA,NA
"302",NA,NA
"303",2,2
"304",NA,NA
"305",NA,NA
"306",1,1
"307",1,1
"308",1,1
"309",2,2
"310",NA,NA
"311",1,1
"312",NA,NA
"313",NA,NA
"314",1,1
"315",NA,NA
"316",1,1
"317",1,1
"318",NA,NA
"319",1,1
"320",1,1
"321",NA,NA
"322",NA,NA
"323",NA,NA
"324",1,1
"325",1,1
"326",2,2
"327",1,1
"328",2,2
"329",2,2
"330",1,1
"331",NA,NA
"332",NA,NA
"333",NA,NA
"334",1,1
"335",NA,NA
"336",NA,NA
"337",NA,NA
"338",2,1
"339",NA,NA
"340",1,1
"341",2,2
"342",1,1
"343",NA,NA
"344",NA,NA
"345",1,1
"346",NA,NA
"347",NA,NA
"348",NA,NA
"349",2,2
"350",1,1
"351",NA,NA
"352",1,1
"353",NA,NA
"354",NA,NA
"355",2,1
"356",1,1
"357",NA,NA
"358",NA,NA
"359",1,1
"360",1,1
"361",1,1
"362",2,2
"363",NA,NA
"364",1,1
"365",NA,NA
"366",1,1
"367",1,1
"368",NA,NA
"369",1,1
"370",1,1
"371",1,1
"372",1,1
"373",2,1
"374",1,1
"375",NA,NA
"376",NA,NA
"377",1,1
"378",NA,NA
"379",NA,NA
"380",2,1
"381",NA,NA
"382",1,1
"383",NA,NA
